CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	TITLE	TITLE_TRANSLATION	BOOKTITLE	BOOKTITLE_TRANSLATION	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TYPE	VOLUME	YEAR	URL	ISBN	VERSION	DOI	ISSUE
book	talibov07	Moscow	NA	Талибов, Букар Б.	Будухский язык	Budukh	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Academia	NA	NA	NA	NA	2007	NA	NA	NA	NA	NA
book	ardoteli09	NA	NA	Ardoteli, Nodar	Xunjuri-andiuri-didouri enat'a istoriul-{\v{s}}edarebit'i p'onetika	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gamomc'emloba Universali	NA	NA	NA	NA	2009	NA	NA	NA	NA	NA
book	gudava64	NA	NA	Gudava, Togo Evstafʹevič	Konsonantizm andijskix jazykov: istoriko-sravnitelʹnyj analiz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Izd-vo Akademii nauk Gruzinskoj SSR	NA	NA	NA	NA	1964	NA	NA	NA	NA	NA
book	bokarev81	NA	NA	Bokarev, Evgenij Alekseevič	Sravnitelʹno-istoričeskaja fonetika vostočnokavkazskix jazykov	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nauka	NA	NA	NA	NA	1981	NA	NA	NA	NA	NA
book	bokarev60	NA	NA	Bokarev, Evgenij Alekseevič	Osnovnye voprosy istoričeskoj fonetiki dagestanskix jazykov	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Izdatelʹstvo vostočnoj literatury	NA	NA	NA	NA	1960	NA	NA	NA	NA	NA
book	dmitriyev40	NA	NA	Dmitriev, N. K.	Grammatika kumykskogo jazyka	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AN SSSR	NA	NA	NA	NA	1940	NA	NA	NA	NA	NA
book	abaev64	Bloomington	NA	Abaev, V. I.	A grammatical sketch of {O}ssetic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Indiana Univesrity Press	NA	NA	NA	NA	1964	NA	NA	NA	NA	NA
book	imnayshvili77	NA	NA	Imnajšvili, D. S.	Istoriko-sravnitelʹnyj analiz fonetiki naxskix jazykov	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mecniereba	NA	NA	NA	NA	1977	NA	NA	NA	NA	NA
book	nikolayev94	NA	NA	Nikolayev, S. L. and Starostin, S. A.	A {N}orth {C}aucasian etymological dictionary	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Asterisk Press	NA	NA	NA	NA	1994	NA	NA	NA	NA	NA
book	talibov80	NA	NA	Talibov, B. B.	Sravnitelʹnaja fonetika lezginskix jazykov	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nauka	NA	NA	NA	NA	1980	NA	NA	NA	NA	NA
book	forker13	NA	NA	Forker, D.	A grammar of {H}inuq	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	De Gruyter Mouton	NA	NA	NA	NA	2013	NA	NA	NA	NA	NA
book	fenwick11	NA	NA	Fenwick, R. S. H.	A grammar of {U}bykh	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lincom Europa	NA	NA	NA	NA	2011	NA	NA	NA	NA	NA
book	catford77	Edinburgh	NA	Catford, J. C.	Fundamental {P}roblems in {P}honetics	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Edinburgh University Press	NA	NA	NA	NA	1977	NA	NA	NA	NA	NA
dataset	moroz20_villages	NA	NA	Moroz, George and Verhees, Samira	East {C}aucasian villages dataset	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	may	NA	NA	NA	NA	Zenodo	NA	NA	NA	NA	2020	https://doi.org/10.5281/zenodo.3824151	NA	v1.0	10.5281/zenodo.3824151	NA
incollection	wals-1	Leipzig	NA	Ian Maddieson	Consonant {I}nventories	NA	The World Atlas of Language Structures Online	NA	NA	NA	NA	Matthew S. Dryer and Martin Haspelmath	NA	NA	NA	NA	NA	NA	NA	NA	NA	Max Planck Institute for Evolutionary Anthropology	NA	NA	NA	NA	2013	https://wals.info/Chapter/1	NA	NA	NA	NA
incollection	moroz19	NA	NA	Moroz, George	Phonology of {M}ehweb	NA	The {M}ehweb language. {E}ssays on phonology, morphology and syntax	NA	NA	NA	NA	Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry	NA	NA	NA	NA	NA	NA	NA	NA	17--39	Language Science Press	NA	NA	NA	NA	2019	NA	NA	NA	NA	NA
incollection	begus21	NA	NA	Beguš, Gašper	Segmental {P}honetics and {P}honology	NA	The Oxford handbook of languages of the Caucasus	NA	NA	NA	NA	Polinsky, Maria	NA	NA	NA	NA	NA	NA	NA	NA	1--40	Language Science Press	NA	NA	NA	NA	2021	NA	NA	NA	NA	NA
incollection	boris21a	NA	NA	Boris, Lena	Word stress in the languages of the {C}aucasus	NA	The Oxford handbook of languages of the Caucasus	NA	NA	NA	NA	Polinsky, Maria	NA	NA	NA	NA	NA	NA	NA	NA	1--30	Language Science Press	NA	NA	NA	NA	2021	NA	NA	NA	NA	NA
incollection	boris21b	NA	NA	Boris, Lena	Tone and {I}ntonation in {L}anguages of the {C}aucasus	NA	The Oxford handbook of languages of the Caucasus	NA	NA	NA	NA	Polinsky, Maria	NA	NA	NA	NA	NA	NA	NA	NA	1--30	Oxford University Press	NA	NA	NA	NA	2021	NA	NA	NA	NA	NA
incollection	grawunder17	NA	NA	Grawunder, S.	The {C}aucasus	NA	Handbook of areal linguistics	NA	NA	NA	NA	HicKey, R.	NA	NA	NA	NA	NA	NA	NA	NA	356--395	Cambridge University Press	NA	NA	NA	NA	2017	NA	NA	NA	NA	NA
incollection	alexeyev21	Berlin/New York	NA	Alexeyev, M. and Verhees, S.	Botlikh	NA	NA	NA	NA	NA	NA	Koryakov, Yu. and Maisak, T.	NA	NA	NA	NA	NA	NA	NA	NA	NA	De Gruyter Mouton	NA	NA	NA	2	Fort	NA	NA	NA	NA	NA
incollection	moroz21	Berlin/New York	NA	Moroz, G. and Naccarato, C. and Verhees, S.	Godoberi	NA	NA	NA	NA	NA	NA	Koryakov, Yu. and Maisak, T.	NA	NA	NA	NA	NA	NA	NA	NA	NA	De Gruyter Mouton	NA	NA	NA	2	Fort	NA	NA	NA	NA	NA
incollection	belyayev21	NA	NA	Беляев, Олег И.	Два типа фарингализации в ширинском даргинском: предварительные наблюдения	Two types of pharyngealization in Shiri Dargwa: first results	???	NA	NA	NA	NA	Majsak, T. A. and Sumbatova, N. R. and Testelec, Ja. G.	NA	NA	NA	NA	NA	NA	NA	NA	18--29	NA	NA	NA	NA	NA	2021	NA	NA	NA	NA	NA
incollection	kibrik1994a	Delmar, NY	NA	Kibrik, Aleksandr E.	Archi	NA	???	NA	NA	NA	NA	Smeets, Rieks	NA	NA	NA	NA	NA	NA	NA	NA	297--365	Caravan Press	NA	NA	NA	NA	1994	NA	NA	NA	NA	NA
incollection	nichols03	NA	NA	Nichols, Johanna	The {N}akh-{D}aghestanian consonant correspondences	NA	The {N}akh-{D}aghestanian consonant correspondences	NA	NA	NA	NA	Dee Ann Holisky and Kevin Tuite	NA	NA	NA	NA	NA	NA	NA	NA	207--265	John Benjamins Publication Company	NA	NA	NA	NA	1994	NA	NA	NA	NA	NA
incollection	colarusso13	Munich	NA	Colarusso, J.	The {T}ypology of {G}utturals	NA	The {T}ypology of {G}utturals	NA	NA	NA	NA	Jean L{\'e}o L{\'e}onard and Samia Na{\""""i}m	NA	NA	NA	NA	NA	NA	NA	NA	93--109	LINCOM Europa	NA	NA	NA	NA	2013	NA	NA	NA	NA	NA
incollection	grawunder10	Berlin	NA	Grawunder, S. and Simpson, A. and Khalilov, M.	Phonetic characteristics of ejectives - samples from {C}aucasian languages	NA	??	NA	NA	NA	NA	Jean L{\'e}o L{\'e}onard and Samia Na{\""""i}m	NA	NA	NA	NA	NA	NA	NA	NA	356--395	De Gruyter Mouton	NA	NA	NA	NA	2010	NA	NA	NA	NA	NA
