id,village,rus_village,lat,lon,lang,aff,family,standard,default_level,dialect_toplevel,dialect_toplevel_cyr,dialect_nt1,dialect_nt1_cyr,dialect_nt2,dialect_nt2_cyr,dialect_nt3,dialect_nt3_cyr,village_dialect,gltc_lang,lang_col,aff_col,dataset_version
995,Muzhichi,Мужичи,43.02805,44.995741,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Muzhichi,ingu1240,#663300,#996633,2024-09-19
996,Dattykh,Даттых,43.030344,45.09973,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Dattykh,ingu1240,#663300,#996633,2024-09-19
997,Galashki,Галашки,43.095888,44.98533,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Galashki,ingu1240,#663300,#996633,2024-09-19
998,Arshty,Аршты,43.139052,45.129402,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Arshty,ingu1240,#663300,#996633,2024-09-19
999,Ali-yurt,Али-юрт,43.141775,44.85396,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Ali-yurt,ingu1240,#663300,#996633,2024-09-19
1000,Magas,Магас,43.166667,44.816667,Ingush,Nakh,East Caucasian,NA,Ingush,Lowland,Плоскостной,NA,NA,NA,NA,NA,NA,Magas,ingu1240,#663300,#996633,2024-09-19
1001,Standard Ingush,NA,43.16667,44.81667,Ingush,Nakh,East Caucasian,Standard Ingush,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,NA,ingu1240,#663300,#996633,2024-09-19
1002,Chemul'ga,Чемульга,43.178142,45.124479,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Chemul'ga,ingu1240,#663300,#996633,2024-09-19
1003,Alkhasty,Алхасты,43.181337,44.993549,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Alkhasty,ingu1240,#663300,#996633,2024-09-19
1004,Surkhakhi,Сурхахи,43.183333,44.9,Ingush,Nakh,East Caucasian,NA,Ingush,Lowland,Плоскостной,NA,NA,NA,NA,NA,NA,Surkhakhi,ingu1240,#663300,#996633,2024-09-19
1005,Ekazhevo,Экажево,43.2,44.816667,Ingush,Nakh,East Caucasian,NA,Ingush,Lowland,Плоскостной,NA,NA,NA,NA,NA,NA,Ekazhevo,ingu1240,#663300,#996633,2024-09-19
1006,Nazran',Назрань,43.216667,44.766667,Ingush,Nakh,East Caucasian,NA,Ingush,Lowland,Плоскостной,NA,NA,NA,NA,NA,NA,Nazran',ingu1240,#663300,#996633,2024-09-19
1007,Berd-yurt,Берд-юрт,43.219063,45.110379,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Berd-yurt,ingu1240,#663300,#996633,2024-09-19
1008,Kantyshevo,Кантышево,43.226647,44.637807,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Kantyshevo,ingu1240,#663300,#996633,2024-09-19
1009,Dolakovo,Долаково,43.23,44.591667,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Dolakovo,ingu1240,#663300,#996633,2024-09-19
1010,Nesterovskaya,Нестеровская,43.235556,45.049167,Ingush,Nakh,East Caucasian,NA,Ingush,Lowland,Плоскостной,NA,NA,NA,NA,NA,NA,Nesterovskaya,ingu1240,#663300,#996633,2024-09-19
1011,Gazi-yurt,Гази-юрт,43.260278,44.841389,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Gazi-yurt,ingu1240,#663300,#996633,2024-09-19
1012,Barsuki,Барсуки,43.261289,44.810823,Ingush,Nakh,East Caucasian,NA,Ingush,Lowland,Плоскостной,NA,NA,NA,NA,NA,NA,Barsuki,ingu1240,#663300,#996633,2024-09-19
1013,Yandare,Яндаре,43.269167,44.908611,Ingush,Nakh,East Caucasian,NA,Ingush,Lowland,Плоскостной,NA,NA,NA,NA,NA,NA,Yandare,ingu1240,#663300,#996633,2024-09-19
1014,Plievo,Пилево,43.28043,44.838204,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Plievo,ingu1240,#663300,#996633,2024-09-19
1015,Karabulak,Карабулак,43.3,44.9,Ingush,Nakh,East Caucasian,NA,Ingush,Lowland,Плоскостной,NA,NA,NA,NA,NA,NA,Karabulak,ingu1240,#663300,#996633,2024-09-19
1016,Troickaya,Троицкая,43.305922,44.987378,Ingush,Nakh,East Caucasian,NA,Ingush,Lowland,Плоскостной,NA,NA,NA,NA,NA,NA,Troickaya,ingu1240,#663300,#996633,2024-09-19
1017,Verkhnie achaluki,Верхние ачалуки,43.345475,44.70157,Ingush,Nakh,East Caucasian,NA,Ingush,Lowland,Плоскостной,NA,NA,NA,NA,NA,NA,Verkhnie achaluki,ingu1240,#663300,#996633,2024-09-19
1018,Srednie achaluki,Средние ачалуки,43.369898,44.733855,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Srednie achaluki,ingu1240,#663300,#996633,2024-09-19
1019,Geyrbek-yurt,Гейрбек-юрт,43.400246,44.595955,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Geyrbek-yurt,ingu1240,#663300,#996633,2024-09-19
1020,Nizhnie achaluki,Нижние ачалуки,43.400979,44.760661,Ingush,Nakh,East Caucasian,NA,Ingush,Lowland,Плоскостной,NA,NA,NA,NA,NA,NA,Nizhnie achaluki,ingu1240,#663300,#996633,2024-09-19
1021,Psedakh,Пседах,43.469167,44.568889,Ingush,Nakh,East Caucasian,NA,Ingush,Lowland,Плоскостной,NA,NA,NA,NA,NA,NA,Psedakh,ingu1240,#663300,#996633,2024-09-19
1022,Inarki,Инарки,43.470756,44.541697,Ingush,Nakh,East Caucasian,NA,Ingush,Lowland,Плоскостной,NA,NA,NA,NA,NA,NA,Inarki,ingu1240,#663300,#996633,2024-09-19
1023,Novyy redant,Новый редант,43.470833,44.801389,Ingush,Nakh,East Caucasian,NA,Ingush,Lowland,Плоскостной,NA,NA,NA,NA,NA,NA,Novyy redant,ingu1240,#663300,#996633,2024-09-19
1024,Sagopshi,Сагопши,43.480556,44.589722,Ingush,Nakh,East Caucasian,NA,Ingush,Lowland,Плоскостной,NA,NA,NA,NA,NA,NA,Sagopshi,ingu1240,#663300,#996633,2024-09-19
1025,Zyazikov-yurt,Зязиков-юрт,43.495711,44.767656,Ingush,Nakh,East Caucasian,NA,Ingush,NA,NA,NA,NA,NA,NA,NA,NA,Zyazikov-yurt,ingu1240,#663300,#996633,2024-09-19
