id	lang	idiom	type	genlang_point	map	value1	value1_name	feature	source	page	comment	contributor	date
15	Akhvakh	Northern Akhvakh	dialect_toplevel	yes	yes	vigesimal	Base of numeral system	Base of numeral system	magomedbekova1967	71		George Moroz	2023-09-08
16	Akhvakh	Ratlub	village	no	yes	vigesimal	Base of numeral system	Base of numeral system	abdullaeva2001		No page (read it on a webpage)	Maksim Melenchenko	2023-09-08
17	Avar	Standard Avar	language	yes	yes	vigesimal	Base of numeral system	Base of numeral system	alekseevataev1997	52		George Moroz	2023-09-08
18	Avar	Zaqatala	dialect_nt1	no	yes	mixed	Base of numeral system	Base of numeral system	saidova2007	107	Originally vigesimal, then presumably borrowed decimal crowns 50—90 from Tsakhur	Maksim Melenchenko	2023-09-08
19	Avar	Kusur	dialect_nt1	no	yes	mixed	Base of numeral system	Base of numeral system	isakov1981		Originally vigesimal, then presumably borrowed decimal crowns 50—90 from Tsakhur. No page (read it on a webpage)	Maksim Melenchenko	2023-09-08
20	Avar	Salatav		no	yes	vigesimal	Base of numeral system	Base of numeral system	musalaeva2016	24		Maksim Melenchenko	2023-09-08
21	Avar	Salta	dialect_nt2	no	yes	vigesimal	Base of numeral system	Base of numeral system	radzhabova2012	16		Maksim Melenchenko	2023-09-08
22	Avar	Gergebil'	village	no	yes	vigesimal	Base of numeral system	Base of numeral system	tagirova2003	16		Maksim Melenchenko	2023-09-08
23	Avar	Upper Karakh	dialect_nt2	no	yes	vigesimal	Base of numeral system	Base of numeral system	muradova2003		No page (read it on a webpage)	Maksim Melenchenko	2023-09-08
24	Avar	Amushi Bol'shoe	village	no	yes	vigesimal	Base of numeral system	Base of numeral system	abdulaeva2013	18		Maksim Melenchenko	2023-09-08
25	Avar	Kharakhi	village	no	yes	vigesimal	Base of numeral system	Base of numeral system	dzhamaludinova2013	15—16		Maksim Melenchenko	2023-09-08
26	Avar	Tlokh	village	no	yes	vigesimal	Base of numeral system	Base of numeral system	nurmagomedova2009	18		Maksim Melenchenko	2023-09-08
27	Avar	Sasitli	village	no	yes	mixed	Base of numeral system	Base of numeral system	karimovakhalilova2013	132	Originally vigesimal, then presumably borrowed decimal crowns 50—90 from adjacent Andic languages	Maksim Melenchenko	2023-09-08
28	Avar	Kedi	village	no	yes	mixed	Base of numeral system	Base of numeral system	karimovakhalilova2013	132	Originally vigesimal, then presumably borrowed decimal crowns 50—90 from adjacent Andic languages	Maksim Melenchenko	2023-09-08
