id	village	rus_village	lat	lon	lang	aff	family	standard	default_level	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltc_lang	lang_col	aff_col	dataset_version
205	Kutisha	Кутиша	42.4236	47.2831	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	North-Eastern Avar	северовосточноаварский	Gergebil	гергебильский	Kutisha	avar1256	#009999	#009999	2025-03-20
206	Kutlab	Кутлаб	42.09663	46.32982	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Northern Antlratl	северноанкратльский	Antsros-Unhada	анцрос-унхадинский			Kutlab	avar1256	#009999	#009999	2025-03-20
207	Kuchrab	Кучраб	42.17506	46.90244	Avar	Avar-Andic	East Caucasian		Avar	Qaraq-Bukhti-Unti	Карахско-бухтинско-унтибское	Qaraq	карахский	Rissib	риссибский			Kuchrab	avar1256	#009999	#009999	2025-03-20
208	Landa	Ланда	42.218	46.27432	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Northern Antlratl	северноанкратльский	Antsuq	анцухский			Landa	avar1256	#009999	#009999	2025-03-20
209	Lakhchayda	Лахчайда	42.41345	46.8378	Avar	Avar-Andic	East Caucasian		Avar	Kuyada-Salta	Куяда-салтинское	Kuyada	куядинский					Lakhchayda	avar1256	#009999	#009999	2025-03-20
210	Leninaul	Ленинаул	43.0920033	46.5722335	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Salataw	салатавский			Leninaul	avar1256	#009999	#009999	2025-03-20
211	Maali	Маали	42.4858	46.9197	Avar	Avar-Andic	East Caucasian		Avar	Kuyada-Salta	Куяда-салтинское	Kudali-Salta	кудали-салтинский					Maali	avar1256	#009999	#009999	2025-03-20
212	Mahamalar	Магамалар	41.7396	46.4195	Avar	Avar-Andic	East Caucasian		Avar	Southern Avar	Южноаварский	Zaqatala	закатальский	Balakən	белоканский	Balakən proper	собственно белоканский	Mahamalar	avar1256	#009999	#009999	2025-03-20
213	Magar	Магар	42.19546	46.843669	Avar	Avar-Andic	East Caucasian		Avar	Qaraq-Bukhti-Unti	Карахско-бухтинско-унтибское	Qaraq	карахский	Mukratl	мукратльский			Magar	avar1256	#009999	#009999	2025-03-20
214	Magitl	Магитль	42.248081	46.366738	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Northern Antlratl	северноанкратльский	Tash	ташский			Magitl	avar1256	#009999	#009999	2025-03-20
215	Mazada	Мазада	42.2328275	46.3831819	Avar	Avar-Andic	East Caucasian		Avar	Antlratl	Анкратльское	Northern Antlratl	северноанкратльский	Tash	ташский			Mazada	avar1256	#009999	#009999	2025-03-20
216	Mazımqarışan	Мазымкара	41.63965	46.26662	Avar	Avar-Andic	East Caucasian		Avar	Southern Avar	Южноаварский	Zaqatala	закатальский					Mazımqarışan	avar1256	#009999	#009999	2025-03-20
217	Maydanskoe	Майданское	42.601674	46.958927	Avar	Avar-Andic	East Caucasian		Avar	Baqluq-Northern Avar	Батлухско-северное	Northern Avar	северноаварский	Khunzaq	хунзахский			Maydanskoe	avar1256	#009999	#009999	2025-03-20
218	Maqov	Маков	41.5929	46.5004	Avar	Avar-Andic	East Caucasian		Avar	Southern Avar	Южноаварский	Zaqatala	закатальский	Car	джарский			Maqov	avar1256	#009999	#009999	2025-03-20
219	Malyy Urala	Малый Урала	42.42216	46.80506	Avar	Avar-Andic	East Caucasian		Avar	Kuyada-Salta	Куяда-салтинское	Kuyada	куядинский					Malyy Urala	avar1256	#009999	#009999	2025-03-20
